model_id,category,specialty,status,authoritative_listing_url,document_url,verified
SCHN-M-001,Medical and surgical,Addiction Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Addiction%20Medicine%201.1%20-%2026%20Sep%202023.pdf,2026-09-10
SCHN-M-002,Medical and surgical,Anaesthesia,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Anaesthesia%20September%201.1%20-%2026%20Sep%202023.pdf,2026-09-10
SCHN-M-003,Medical and surgical,Anatomical Pathology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2024-05/Final%20Model%20SoCP%20for%20Anatomical%20Pathology%202.1%20-%2029%20Apr%202024.pdf,2026-09-10
SCHN-M-004,Medical and surgical,Cardiology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Cardiology%201.1%20-%2026%20Sep%202023_2.pdf,2026-09-10
SCHN-M-005,Medical and surgical,Cardiothoracic Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-006,Medical and surgical,Chemical Pathology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-007,Medical and surgical,Clinical Genetics (including Paediatric Clinical Genetics),Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Clinical%20Genetics%201.1%20-%2026%20Sep%202023.pdf,2026-09-10
SCHN-M-008,Medical and surgical,Clinical Pharmacology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-009,Medical and surgical,Dermatology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Dermatology%201.1%20-%2026%20Sep%202023_3.pdf,2026-09-10
SCHN-M-010,Medical and surgical,Emergency Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Emergency%20Medicine%201.2%20-%2026%20Sep%202023_3.pdf,2026-09-10
