model_id,category,specialty,status,authoritative_listing_url,document_url,verified
SCHN-M-011,Medical and surgical,Endocrinology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-012,Medical and surgical,Forensic Pathology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-013,Medical and surgical,Gastroenterology and Hepatology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-014,Medical and surgical,General Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20General%20Medicine%201.1%20-%2026%20Sep%202023_3.pdf,2026-09-10
SCHN-M-015,Medical and surgical,General Pathology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-016,Medical and surgical,General Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20General%20Surgery%201.1%20-%2026%20Sep%202023_2.pdf,2026-09-10
SCHN-M-017,Medical and surgical,Genetic Pathology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Genetic%20Pathology%201.0%2026%20Sep%202023_2.pdf,2026-09-10
SCHN-M-018,Medical and surgical,Geriatric Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-019,Medical and surgical,Gynaecological Oncology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-020,Medical and surgical,Haematology (Laboratory and Clinical),Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-021,Medical and surgical,Immunology and Allergy,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-022,Medical and surgical,Immunology (Immunopathology),Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-023,Medical and surgical,Infectious Diseases,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-024,Medical and surgical,Intensive Care Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Intensive%20Care%20Medicine%201.2%20-%2026%20Sep%202023_1.pdf,2026-09-10
SCHN-M-025,Medical and surgical,Maternal-Fetal Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-026,Medical and surgical,Medical Administration,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Medical%20Administration%201.1%20-%2026%20Sep%202023_1.pdf,2026-09-10
SCHN-M-027,Medical and surgical,Medical Oncology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-028,Medical and surgical,Microbiology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-029,Medical and surgical,Nephrology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-030,Medical and surgical,Nuclear Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-031,Medical and surgical,Obstetric and Gynaecological Ultrasound,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-032,Medical and surgical,Obstetrics and Gynaecology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,https://www.schn.health.nsw.gov.au/sites/default/files/2023-10/Final%20Model%20SoCP%20for%20Obstetrics%20%20Gynaecology%201.2%20-%2026%20Sep%202023.pdf,2026-09-10
SCHN-M-033,Medical and surgical,Occupational and Environmental Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-034,Medical and surgical,Ophthalmology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-035,Medical and surgical,Oral and Maxillofacial Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-036,Medical and surgical,Otolaryngology - Head and Neck Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-037,Medical and surgical,Pain Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-038,Medical and surgical,Palliative Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-039,Medical and surgical,Plastic Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-040,Medical and surgical,Psychiatry,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-041,Medical and surgical,Public Health Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-042,Medical and surgical,Radiation Oncology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-043,Medical and surgical,Radiology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-044,Medical and surgical,Rehabilitation Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-045,Medical and surgical,Reproductive Endocrinology and Infertility,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-046,Medical and surgical,Respiratory and Sleep Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-047,Medical and surgical,Rheumatology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-048,Medical and surgical,Sexual Health Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-049,Medical and surgical,Sport and Exercise Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-050,Medical and surgical,Urogynaecology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-M-051,Medical and surgical,Vascular Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-R-001,Medical and surgical,General Practice,Under review after consultation,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-R-002,Medical and surgical,Neurology,Under review after consultation,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-R-003,Medical and surgical,Neurosurgery,Under review after consultation,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-R-004,Medical and surgical,Orthopaedic Surgery,Under review after consultation,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
SCHN-R-005,Medical and surgical,Urology,Under review after consultation,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-surgical-and-medical,,2026-09-10
