bundle,filename,bytes,pages,sha256,pdf_title
socp,socp-neonatal-med.pdf,63079,3,634e1b7a79a05d7c74a81f08b53b006482b8e80029524dd6417e3314d1b28f24,"Credentialing and Scope of Clinical Practice Module - Neonatal and Perinatal Medicine, Metro North Hospital and Health Service"
socp,socp-neurosurgery.pdf,94767,4,e4458056e7dba99052e098fe63b56c36b2b94666b2e1b6c2f9a416f65cf10d98,"Credentialing and Scope of Clinical Practice Module - Neurosurgery, Metro North Hospital and Health Service"
socp,socp-obstetric-med.pdf,57643,3,ac2ae117af769bf86ecde0f63c6ea1e6ddd5c3e2f11ccbd4572eccd3d07f5ed6,SoCP Module - Obstetric Medicine
socp,socp-obstetrics-and-gynae.pdf,279802,30,94ddaa8a80e1ab1a622f5bee81079e0194a2ecdb75dc35c9fd2352c669e65503,Scope of Clinical Practice – Obstetrics and Gynaecology v1.3 | Metro North HHS
socp,socp-oms.pdf,70422,4,b6d8f20052043aa808d8f8e59639ee0f370200931ee311abb2c2accbe13d0b50,"SoCP Module - Oral and Maxillofacial Surgery, Metro North Hospital and Health Service"
socp,socp-ophthalmology.pdf,68930,4,0b6c48618f02b700e431af6462e24d39c9303053b07ef291f04cd78dc438ed3d,"SoCP  Module - Ophthalmology, Metro North Hospital and Health Service"
socp,socp-orthopaedic.pdf,98855,4,4e02fd5b12bea4be3e4761cbc8d9e43cbac0e5758c188e77080b458f003a1f05,Orthopaedic Surgery including Complex Hand Surgery / Upper Limb Surgery
socp,socp-orthopaedics-neurourgery.pdf,286177,4,7af1895edd506882b3b73e901f2f844e1081b654d19ca994335e276cd848ca43,Orthopaedics and Neurosurgery – Robotic Surgery: Spine | Metro North Health
socp,socp-otolaryngology.pdf,255169,12,e047c3b2da2ee2e5f43f4c82019fdc2b392b48f64f4c9ddbfe7554d4c4f69afe,"Credentialing and Scope of Clinical Practice Module - Otolaryngology, Metro North Hospital and Health Service"
socp,socp-pain-med.pdf,64153,3,1fa6a861820c75a45850ac7a160b4e465d0743628ec9d2a935d240fa2fd4e0d9,"Credentialing and Scope of Clinical Practice Module - Pain Medicine, Metro North Hospital and Health Service"
socp,socp-plastic.pdf,102276,4,8c5320cc436a50f4ef1f7b94f42685351e13c00eac7ff843e6d096614d7587d2,Plastic and Reconstructive Surgery: Complex Hand Surgery
socp,socp-psychiatry.pdf,295833,6,ca7cb9fe72f7fce96f1c4e2dbc4ae4035024e3166634317200d1314d4cbd7e0d,"Credentialing and Scope of Clinical Practice Module - Psychiatry, Metro North Hospital and Health Service"
socp,socp-public-health.pdf,149605,2,329f4f0078ea7d94cdcf9b8988a03eb988f8b1cd1fc76d28fb3054097e4c1fa5,"Credentialing and Scope of Clinical Practice Module - Public Health, Metro North Hospital and Health Service"
socp,socp-rehab-med.pdf,215228,5,ceee021db8e6daff6c92b7607fb13c6fc6a779c56ce0b7b47f0f50a8ed66c9a3,"Credentialing and Scope of Clinical Practice Module - Rehabilitation Medicine, Metro North Hospital and Health Service"
socp,socp-respiratory-sleep-medicine.pdf,647599,14,bf70a0a994635f1dd18927ee53e2a7ee6ef563a7faa1dda74ada93926b62ffa2,SoCP Module Respiratory and Sleep Medicine
socp,socp-rheumatology.pdf,191505,5,30986efb0b50c52e0473d18213b6bbb9f852def8f35f44bcf7647161457bd149,"Credentialing and Scope of Clinical Practice Module - Rheumatology, Metro North Hospital and Health Service"
socp,socp-robotic-hpb-surgery.pdf,374481,7,afab96f6a048c452409c1fb774bce6af7596560eba4a209282dc2ca126f1f0c2,"Credentialing and Scope of Clinical Practice Module - Robotic HPB Surgery, Metro North Hospital and Health Service"
socp,socp-sexual-health.pdf,58277,3,4d8df20844d02ba7334e4f6cd9a0071b6dc865d0740b578abc74d9deb4927c15,"SoCP Module - Sexual Health Medicine, Metro North Hospital and Health Service"
socp,socp-urology.pdf,412701,11,69417f66320c475e4aa49a02373f498e4f2707284421cd46376c8cf5d8c79f5b,SoCP Module - Urology | Metro North Health
socp,socp-vascular-surgery.pdf,176981,5,0a2246e9504bffe29358cd56c19aea4f59025e37c024f4cf9c8541a061490170,"Credentialing and Scope of Clinical Practice Module - Vascular Surgery, Metro North Hospital and Health Service"
